index,date,user_submitted_review,title,total_purchased,distribution_channel,author
0,2019-05-22,4.0,10% Happier,7.0,Online,Dan Harris
1,2019-11-16,5.0,The 10X Rule,3.0,Online,Grant Cardone
2,2019-06-27,5.0,The 10X Rule,1.0,In-Person,Grant Cardone
3,2019-11-06,5.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
5,2019-01-28,5.0,10% Happier,1.0,Online,Dan Harris
6,2019-02-20,1.0,The 10X Rule,5.0,Online,Grant Cardone
8,2019-07-13,4.0,The Art of Profitability,7.0,Online,Adrian Slywotzky
9,2019-06-22,3.0,The 10X Rule,1.0,Online,Grant Cardone
10,2019-03-14,3.0,The 10X Rule,7.0,Online,Grant Cardone
12,2019-03-14,5.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
13,2019-09-23,5.0,The 10X Rule,2.0,Online,Grant Cardone
14,2019-08-21,,The 10X Rule,0.0,Online,Grant Cardone
15,2019-01-17,4.0,The 10X Rule,6.0,Online,Grant Cardone
16,2019-04-08,2.0,The 10X Rule,3.0,Online,Grant Cardone
17,2019-07-21,5.0,The 10X Rule,2.0,In-Person,Grant Cardone
19,2019-03-14,4.0,The 10X Rule,4.0,Online,Grant Cardone
20,2019-11-11,,The 10X Rule,3.0,Online,Grant Cardone
21,2019-09-10,2.0,The 10X Rule,4.0,In-Person,Grant Cardone
22,2019-06-20,4.0,The 10X Rule,3.0,In-Person,Grant Cardone
23,2019-07-29,5.0,10% Happier,6.0,In-Person,Dan Harris
24,2019-05-11,4.0,10% Happier,4.0,In-Person,Dan Harris
25,2019-11-02,,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
26,2019-02-22,1.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
27,2019-12-17,2.0,The 10X Rule,4.0,Online,Grant Cardone
28,2019-07-26,3.0,10% Happier,4.0,In-Person,Dan Harris
29,2019-08-26,5.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
30,2019-08-07,3.0,10% Happier,5.0,Online,Dan Harris
31,2019-10-13,5.0,The Art of War,3.0,Online,Sun Tzu
32,2019-06-08,2.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
33,2019-11-28,4.0,10% Happier,5.0,Online,Dan Harris
34,2019-11-15,4.0,10% Happier,3.0,Online,Dan Harris
35,2019-02-01,5.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
36,2019-04-18,5.0,The 10X Rule,5.0,Online,Grant Cardone
